id,stop_letter,name,lat,lon,lines,modes,parent_id,top_most_parent_id,station_id
490003921N,X,Berkeley Road,51.546932,0.048631,"['101', '304', '474']",['bus'],490G00003921,490G00003921,490G00003921
490005694C,C,Romford Road,51.550059,0.047719,"['101', '304', '474']",['bus'],490G00011661,490G00011661,490G00011661
490001189N,A,Manor Park Station,51.552082,0.046713,"['101', '304', '474', 'w19']",['bus'],910GMANRPK,910GMANRPK,910GMANRPK
490004769W,,Capel Road,51.554264,0.04635,"['101', 'w19']",['bus'],490G00004769,490G00004769,490G00004769
490005322N,J,City of London Cemetery,51.556956,0.044638,"['101', 'w19']",['bus'],490G00005322,490G00005322,490G00005322
490014205N,K,Wanstead Park Avenue,51.558817,0.041562,"['101', 'w19']",['bus'],490G00014205,490G00014205,490G00014205
490009816N,L,Merlin Road,51.559622,0.039737,"['101', 'w19']",['bus'],490G00009816,490G00009816,490G00009816
490006566N,M,Empress Avenue,51.560489,0.038002,"['101', 'w19']",['bus'],490G00006566,490G00006566,490G00006566
490006151N,N,Dover Road,51.562007,0.034968,"['101', 'w19']",['bus'],490G00006151,490G00006151,490G00006151
490010812W,P,Park Road,51.562872,0.032308,"['101', 'w19']",['bus'],490G00010812,490G00010812,490G00010812
490011372N,R,Queenswood Gardens,51.563915,0.025559,"['101', 'w19']",['bus'],490G00011372,490G00011372,490G00011372
490004087N,S,Blake Hall Crescent,51.566629,0.024597,"['101', '308', 'w19']",['bus'],490G00004087,490G00004087,490G00004087
490004653N,M,Bush Road,51.570651,0.02342,"['101', '308']",['bus'],490G00004653,490G00004653,490G00004653
490004706N,L,Cambridge Park,51.57305,0.023512,"['101', '308']",['bus'],490G00004706,490G00004706,490G00004706
490015125B,B,Wanstead Station,51.575308,0.027119,"['101', '145', '308', 'n55', 'n8', 'w13', 'w14']",['bus'],490G00250A,940GZZLUWSD,490G00250A
490014816W,AP,Woodbine Place,51.576784,0.027055,"['101', '308', 'w12']",['bus'],490G00014816,490G00014816,490G00014816
